#online:true
#name:UTF-8 Unicode 5.2,UTF-16LE Unicode 5.2,UTF-16BE Unicode 5.2
#id:utf-8@unicode5_2,utf-16le@unicode5_2,utf-16be@unicode5_2
#type:bin
#pattern:
#base:unicode5_1
#description:為美國跨國公司Unicode Consortium所提出的業界標準。並於2009年10月公布Unicode 5.2版本，新增擴展C集(Extension C)共4,149字，達74,394個漢字，適用於WindowsVista／7等以上作業系統。
13-2A3F	2ACA5
13-2A4E	2AD2E
13-2A60	2AD45
13-2A68	2AD4E
13-2A70	2AD5D
13-2B42	2ADA0
13-2B4B	2AD98
13-2B52	2A864
13-2B56	2AD9E
13-2B58	2ADA6
13-2B61	2ADA1
13-2B62	2ADA2
13-2B6D	2AD99
13-2B6F	2ADA4
13-2B72	2ADA7
13-2B75	2ADA8
13-2C25	2AE41
13-2C26	2AE3F
13-2C2A	2AE33
13-2C2D	2AE34
13-2C3E	2AE38
13-2C4F	2AE35
13-2C56	2AE3C
13-2C61	2AE39
13-2C65	2AE36
13-2C6E	2AE92
13-2C72	2AEA5
13-2D24	2AEC2
13-2D26	2AEC4
13-2D2E	2AEF1
13-2D34	2AEEA
13-2D3B	2AEE6
13-2D3D	2AEEC
13-2D3E	2AEE7
13-2D53	2AEED
13-2D59	2AEEB
13-2D61	2AEEE
13-2D68	2AF40
13-2D70	2AF53
13-2E26	2AFAB
13-2E35	2AFE1
13-2E3A	2AFDE
13-2E43	2AFE2
13-2E49	2AFDF
13-2E4A	2AFE0
13-2E5F	2B010
13-2E61	2B011
13-2E6B	2B014
13-2E73	2B012
13-2E78	2B032
13-2E7A	2B037
13-2E7E	2B034
13-2F2B	2B04F
13-2F37	2B063
13-2F54	2B07C
13-2F58	2B0C0
13-2F5A	2B480
13-2F60	2B0BE
13-2F63	2B0BD
13-3022	2B0E3
13-3023	2B0E2
13-3030	2B154
13-3037	2B166
13-3038	2B167
13-303B	2B17A
13-303D	2B17B
13-3043	2B182
13-3069	2B21A
13-3074	2B216
13-312A	2B210
13-312C	2B211
13-312D	2B214
13-3134	2B21B
13-3141	2B212
13-3146	2B21C
13-3147	2B217
13-3154	2B220
13-3177	2B21D
13-317B	2B2A1
13-3229	2B2BA
13-322B	2B2B7
13-3232	2B2EE
13-3241	2B2FD
13-324B	2B31D
13-3256	2B336
13-327A	2B394
13-3322	2B3B2
13-332A	2B3C5
13-3330	2B3F4
13-3339	2B431
13-333B	2B42D
13-3347	2B42E
13-334B	2B42C
13-334F	2B42B
13-335F	2B463
13-3370	2B48B
13-3379	2B48C
13-337C	2B48E
13-3421	2B48D
13-342F	2B51A
13-3432	2B51B
13-3445	2B54D
13-3447	2B546
13-3449	2B549
13-344F	2B548
13-3454	2B55F
13-3459	2B560
13-3468	2B6AE
13-353A	2A763
13-3545	2A762
13-354A	2A760
13-354E	2B1D5
13-3553	2A761
13-356B	2A78A
13-356C	2B5BB
13-3576	2A7AC
13-357C	2A7AB
13-3634	2A7D1
13-3645	2A82F
13-3658	2A815
13-365A	2A813
13-367A	2A86E
13-372C	2A86A
13-372D	2A86B
13-373B	2A86C
13-373D	2A95A
13-3749	2A906
13-374A	2A90C
13-3751	2A8FF
13-3753	2A902
13-3754	2A907
13-376F	2A900
13-3776	2A909
13-3821	2A903
13-3826	2A908
13-382B	2A933
13-382E	2ABD1
13-382F	2A936
13-3835	2ACBF
13-3855	2A988
13-3864	2A996
13-386A	2A994
13-386D	2A992
13-3874	2A991
13-3923	2A9DF
13-3929	2A9E0
13-392A	2A9DC
13-392C	2A9E6
13-3935	2A9DB
13-3950	2AA48
13-395D	2AA49
13-395F	2AA4B
13-396E	2AA53
13-397C	2AA9C
13-3A37	2AAD4
13-3A39	2AAD5
13-3A4A	2AB10
13-3A4C	2AB07
13-3A4D	2AB17
13-3A51	2AB16
13-3A57	2AB12
13-3A5B	2AB1E
13-3A70	2AB18
13-3A74	2AB0B
13-3A7C	2AB9C
13-3A7D	2ABA0
13-3B25	2AB98
13-3B2D	2AB9D
13-3B46	2AB99
13-3B47	2AB8C
13-3B4A	2AB97
13-3B6D	2AC34
13-3C2A	2AC2F
13-3C2D	2B466
13-3C37	2AC67
13-3C3B	2B1A6
13-3C46	2ACB7
13-3C47	2ACC6
13-3C4A	2ACC7
13-3C4E	2ACC0
13-3C67	2ACB2
13-3C68	2ACBB
13-3C6C	2ACC1
13-3D31	2ACB8
13-3D50	2AD2F
